soil_record_id,project_id,year,land_treated_hectares,soil_saved_tons,erosion_reduction_percent,soil_moisture_percent,remarks
SM096,P020,2022,8.4,63.1,30.6,22.4,field register measurement verified
SM097,P020,2023,13.6,85.9,32.0,27.5,field register measurement verified
SM098,P020,2024,13.3,93.2,37.7,30.1,field register measurement verified
SM099,P021,2022,6.3,51.8,29.0,24.7,field register measurement verified
SM100,P021,2023,8.1,54.8,28.9,24.5,field register measurement verified
SM101,P021,2024,8.3,69.2,34.7,26.7,field register measurement verified
SM102,P022,2022,5.0,48.4,30.2,24.8,field register measurement verified
SM103,P022,2023,7.5,51.2,30.6,25.9,field register measurement verified
SM104,P022,2024,10.2,75.7,34.7,30.0,field register measurement verified
SM105,P023,2023,12.9,80.2,30.2,28.1,field register measurement verified
SM106,P023,2024,13.5,94.0,32.9,27.6,field register measurement verified
SM107,P024,2023,8.6,59.7,29.9,26.1,field register measurement verified
SM108,P024,2024,8.1,61.6,33.5,27.7,field register measurement verified
SM109,P025,2023,7.3,50.7,30.6,25.0,field register measurement verified
SM110,P025,2024,10.1,68.1,38.2,28.8,field register measurement verified
SM111,P026,2023,13.4,93.8,31.2,25.4,field register measurement verified
SM112,P026,2024,15.8,93.1,38.0,28.7,field register measurement verified
SM113,P027,2023,7.7,67.3,34.7,26.6,field register measurement verified
SM114,P027,2024,10.5,72.7,33.9,28.2,field register measurement verified
SM115,P028,2024,11.5,84.2,38.5,29.5,field register measurement verified
SM116,P029,2024,15.0,107.7,37.7,28.9,field register measurement verified
SM117,P030,2024,9.5,62.6,33.8,27.5,field register measurement verified
SM118,P031,2024,10.8,87.9,36.8,28.6,field register measurement verified
SM119,P032,2024,15.6,107.5,36.3,26.0,field register measurement verified
SM120,P033,2024,10.7,71.6,36.4,28.2,field register measurement verified
SM121,P034,2024,11.1,65.5,38.1,27.1,field register measurement verified
SM122,P017,2024,12.7,91.4,38.0,26.9,field register measurement verified
SM123,P006,2024,15.9,112.8,36.4,27.6,field register measurement verified
SM124,P009,2024,9.9,71.3,38.3,28.6,field register measurement verified
SM125,P028,2024,10.4,61.6,33.9,27.1,field register measurement verified
SM126,P010,2021,5.9,31.8,23.7,20.1,field register measurement verified
SM127,P028,2024,8.6,63.7,37.6,28.9,field register measurement verified
SM128,P003,2021,6.2,35.4,23.3,22.0,field register measurement verified
SM129,P023,2024,15.5,100.6,39.2,26.8,field register measurement verified
SM130,P011,2024,16.6,111.8,33.0,27.9,field register measurement verified
SM131,P012,2023,10.1,70.9,31.6,25.1,field register measurement verified
SM132,P016,2022,5.5,50.8,25.6,24.4,field register measurement verified
SM133,P003,2022,6.1,49.3,30.8,22.6,field register measurement verified
SM134,P023,2024,16.1,104.5,39.1,29.0,field register measurement verified
SM135,P002,2022,5.7,51.0,27.5,22.1,field register measurement verified
SM136,P018,2023,7.2,59.2,31.7,25.3,field register measurement verified
SM137,P022,2022,5.2,39.9,26.3,25.5,field register measurement verified
SM138,P017,2021,5.4,50.7,25.6,20.5,field register measurement verified
SM139,P021,2023,9.8,62.4,34.8,25.2,field register measurement verified
SM140,P013,2021,4.5,31.0,26.7,22.5,field register measurement verified
SM141,P013,2021,5.3,37.5,21.6,20.2,field register measurement verified
SM142,P021,2024,9.8,80.9,34.9,29.9,field register measurement verified
SM143,P033,2024,9.9,68.6,36.5,26.8,field register measurement verified
SM144,P019,2024,9.7,76.9,39.1,29.4,field register measurement verified
SM145,P012,2022,7.2,53.4,30.7,24.3,field register measurement verified
SM146,P001,2022,9.6,53.4,29.2,23.9,field register measurement verified
SM147,P021,2023,9.0,59.0,30.5,24.2,field register measurement verified
SM148,P031,2024,12.7,72.1,36.2,27.4,field register measurement verified
SM149,P022,2022,7.3,58.3,30.9,23.1,field register measurement verified
SM150,P020,2022,10.5,65.3,28.0,23.7,field register measurement verified
SM151,P016,2023,8.4,58.0,30.0,27.8,field register measurement verified
SM152,P027,2023,8.8,55.4,34.8,28.2,field register measurement verified
SM153,P016,2021,6.1,36.2,21.0,20.4,field register measurement verified
SM154,P007,2023,7.4,46.5,30.2,25.1,field register measurement verified
SM155,P034,2024,10.1,74.2,38.1,27.7,field register measurement verified
SM156,P008,2023,8.7,61.8,31.1,25.4,field register measurement verified
SM157,P021,2023,7.3,55.0,35.3,24.5,field register measurement verified
SM158,P028,2024,12.1,85.1,38.9,26.9,field register measurement verified
SM159,P029,2024,14.4,99.1,35.7,27.9,field register measurement verified
SM160,P034,2024,12.7,84.0,39.0,26.1,field register measurement verified
SM161,P019,2022,5.3,48.9,30.4,24.0,field register measurement verified
SM162,P006,2023,11.3,67.1,31.2,27.9,field register measurement verified
SM163,P014,2019,6.0,40.3,17.7,17.0,field register measurement verified
SM164,P027,2023,6.7,47.6,32.2,26.9,field register measurement verified
SM165,P002,2024,11.5,73.8,37.4,29.2,field register measurement verified
SM166,P025,2024,11.0,77.1,33.2,29.3,field register measurement verified
SM167,P015,2023,7.0,60.6,33.0,25.3,field register measurement verified
SM168,P025,2024,10.4,74.6,37.4,28.9,field register measurement verified
SM169,P011,2024,13.3,91.4,36.6,28.4,field register measurement verified
SM170,P002,2024,10.1,67.0,37.1,26.0,field register measurement verified
